Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -1.16870      0.36877      0.20164      0.16713
     -1.15870      0.36826      0.18048      0.18778
     -1.14870      0.47887      0.22555      0.25331
     -1.13870      0.42515      0.21260      0.21255
     -1.12870      0.36122      0.19105      0.17017
     -1.11870      0.39437      0.20612      0.18825
     -1.10870      0.47133      0.22393      0.24740
     -1.09870      0.66895      0.28829      0.38066
     -1.08870      0.86308      0.37048      0.49260
     -1.07870      1.30758      0.60507      0.70250
     -1.06870      1.90715      0.95721      0.94993
     -1.05870      1.81571      0.97419      0.84152
     -1.04870      1.24914      0.68353      0.56561
     -1.03870      0.99908      0.54955      0.44953
     -1.02870      0.75710      0.45053      0.30656
     -1.01870      0.79000      0.51071      0.27928
     -1.00870      1.21558      0.79101      0.42457
     -0.99870      1.13066      0.74987      0.38079
     -0.98870      0.73330      0.48301      0.25028
     -0.97870      0.87001      0.53928      0.33073
     -0.96870      1.18320      0.73659      0.44661
     -0.95870      1.36817      0.88039      0.48778
     -0.94870      1.62148      1.06076      0.56072
     -0.93870      1.70806      1.14422      0.56384
     -0.92870      1.52799      1.05838      0.46961
     -0.91870      1.54381      1.02437      0.51944
     -0.90870      2.04905      1.30524      0.74381
     -0.89870      1.84060      1.16102      0.67958
     -0.88870      1.42937      0.88706      0.54231
     -0.87870      2.06598      1.34450      0.72148
     -0.86870      2.90746      1.94113      0.96633
     -0.85870      2.94103      1.96150      0.97953
     -0.84870      2.63000      1.76000      0.87001
     -0.83870      2.38528      1.60306      0.78222
     -0.82870      2.16976      1.49573      0.67403
     -0.81870      2.50345      1.79797      0.70547
     -0.80870      3.47681      2.49430      0.98251
     -0.79870      4.18536      2.99241      1.19295
     -0.78870      4.33690      3.13039      1.20651
     -0.77870      4.58444      3.31643      1.26801
     -0.76870      4.42807      3.18668      1.24139
     -0.75870      4.03379      2.91512      1.11867
     -0.74870      3.76560      2.70768      1.05793
     -0.73870      3.46545      2.43250      1.03295
     -0.72870      3.41226      2.35934      1.05292
     -0.71870      3.22968      2.22887      1.00080
     -0.70870      3.00100      2.08756      0.91344
     -0.69870      3.09982      2.12955      0.97028
     -0.68870      3.21765      2.19506      1.02259
     -0.67870      3.11562      2.17238      0.94325
     -0.66870      2.73170      1.89969      0.83201
     -0.65870      2.38904      1.62969      0.75935
     -0.64870      2.53079      1.77176      0.75903
     -0.63870      2.82517      2.00679      0.81839
     -0.62870      2.56196      1.76921      0.79275
     -0.61870      2.36707      1.62129      0.74578
     -0.60870      2.92925      2.07158      0.85767
     -0.59870      3.04422      2.14594      0.89828
     -0.58870      2.40042      1.65426      0.74615
     -0.57870      2.27325      1.55105      0.72220
     -0.56870      2.65801      1.83229      0.82571
     -0.55870      2.60896      1.83780      0.77116
     -0.54870      2.07748      1.46762      0.60986
