Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -1.06000      1.85019      0.54768      1.30251
     -1.05000      2.43437      0.67565      1.75872
     -1.04000      2.69592      0.71703      1.97889
     -1.03000      2.79669      0.80351      1.99318
     -1.02000      2.85172      0.81844      2.03327
     -1.01000      2.35305      0.58037      1.77268
     -1.00000      1.87105      0.45054      1.42051
     -0.99000      2.88464      0.75971      2.12493
     -0.98000      3.86776      0.99351      2.87425
     -0.97000      3.47504      0.88306      2.59198
     -0.96000      3.11562      0.96163      2.15399
     -0.95000      3.40391      1.29134      2.11257
     -0.94000      3.29397      1.23501      2.05896
     -0.93000      2.85405      0.89858      1.95548
     -0.92000      2.91103      1.00127      1.90976
     -0.91000      3.17747      1.27012      1.90735
     -0.90000      2.95053      1.00544      1.94509
     -0.89000      2.75368      0.76670      1.98697
     -0.88000      3.03354      1.14010      1.89344
     -0.87000      3.38967      1.60476      1.78491
     -0.86000      2.84468      1.42693      1.41776
     -0.85000      1.89036      1.03751      0.85285
     -0.84000      1.57415      0.97216      0.60200
     -0.83000      1.60320      1.02921      0.57399
     -0.82000      1.92426      1.25078      0.67348
     -0.81000      2.46254      1.65529      0.80725
     -0.80000      2.82987      1.89314      0.93672
     -0.79000      2.92159      1.86777      1.05382
     -0.78000      2.83004      1.77861      1.05144
     -0.77000      2.69778      1.78355      0.91422
     -0.76000      3.29963      2.38398      0.91564
     -0.75000      4.17195      3.07621      1.09574
     -0.74000      4.54939      3.32274      1.22666
     -0.73000      4.35688      3.13812      1.21876
     -0.72000      3.89359      2.75893      1.13466
     -0.71000      3.52934      2.43047      1.09887
     -0.70000      3.87059      2.58419      1.28640
     -0.69000      3.82155      2.54155      1.28000
     -0.68000      3.38353      2.33539      1.04814
     -0.67000      3.25841      2.26390      0.99451
     -0.66000      2.95802      2.01192      0.94610
     -0.65000      2.63152      1.79092      0.84060
     -0.64000      2.48563      1.66061      0.82502
     -0.63000      2.85108      1.87072      0.98036
     -0.62000      4.17795      2.72154      1.45641
     -0.61000      4.30858      2.79598      1.51260
     -0.60000      2.56943      1.70585      0.86358
     -0.59000      1.91541      1.34036      0.57505
     -0.58000      2.62136      1.82211      0.79924
     -0.57000      2.83662      1.94235      0.89427
     -0.56000      2.45750      1.64423      0.81327
     -0.55000      2.71918      1.80722      0.91196
     -0.54000      3.34574      2.24060      1.10514
     -0.53000      3.29670      2.21390      1.08280
     -0.52000      2.63891      1.78050      0.85841
     -0.51000      2.26454      1.54794      0.71660
     -0.50000      2.41552      1.63138      0.78413
     -0.49000      2.78728      1.82759      0.95970
     -0.48000      2.86403      1.89835      0.96568
     -0.47000      2.64621      1.84612      0.80009
     -0.46000      2.71048      1.92252      0.78795
     -0.45000      3.02270      2.08252      0.94018
     -0.44000      3.09181      2.07557      1.01624
     -0.43000      2.46862      1.66875      0.79987
     -0.42000      2.15580      1.50793      0.64787
     -0.41000      2.64157      1.83480      0.80677
     -0.40000      2.69182      1.82711      0.86471
     -0.39000      2.04606      1.38413      0.66193
     -0.38000      2.44529      1.73414      0.71115
     -0.37000      3.65601      2.63468      1.02133
     -0.36000      3.67689      2.61824      1.05865
     -0.35000      2.65578      1.85278      0.80300
     -0.34000      2.09771      1.45250      0.64521
     -0.33000      2.31219      1.64017      0.67202
     -0.32000      2.74210      1.97550      0.76660
     -0.31000      2.50716      1.78720      0.71996
     -0.30000      2.32785      1.63556      0.69229
     -0.29000      2.64602      1.87929      0.76673
     -0.28000      3.31276      2.41447      0.89830
     -0.27000      3.64707      2.69180      0.95527
     -0.26000      2.76495      2.02131      0.74364
     -0.25000      1.54510      1.11848      0.42662
     -0.24000      1.01233      0.75358      0.25875
     -0.23000      1.02854      0.79193      0.23661
     -0.22000      1.12384      0.87975      0.24408
     -0.21000      1.04229      0.81763      0.22466
     -0.20000      0.97006      0.75772      0.21233
     -0.19000      0.93229      0.73307      0.19922
     -0.18000      0.99190      0.79260      0.19930
     -0.17000      1.22433      0.98678      0.23755
     -0.16000      1.13274      0.91343      0.21931
     -0.15000      0.75057      0.60291      0.14767
     -0.14000      0.58494      0.46961      0.11534
     -0.13000      0.65086      0.52693      0.12393
     -0.12000      0.74567      0.60686      0.13882
     -0.11000      0.63016      0.51355      0.11661
     -0.10000      0.54402      0.44475      0.09927
     -0.09000      0.76310      0.62620      0.13690
     -0.08000      0.98123      0.80696      0.17426
     -0.07000      0.70651      0.58190      0.12461
     -0.06000      0.38120      0.31481      0.06639
     -0.05000      0.46937      0.38865      0.08072
     -0.04000      0.56316      0.46697      0.09619
     -0.03000      0.58110      0.48274      0.09836
     -0.02000      0.57463      0.47813      0.09650
     -0.01000      0.42670      0.35552      0.07117
      0.00000      0.23354      0.19482      0.03873
      0.01000      0.08083      0.06747      0.01336
      0.02000      0.01296      0.01082      0.00214
      0.03000      0.00082      0.00068      0.00013
      0.04000      0.00002      0.00002      0.00000
      0.05000      0.00000      0.00000      0.00000
      0.06000      0.00000      0.00000      0.00000
      0.07000      0.00000      0.00000      0.00000
      0.08000      0.00000      0.00000      0.00000
      0.09000      0.00000      0.00000      0.00000
      0.10000      0.00000      0.00000      0.00000
      0.11000      0.00000      0.00000      0.00000
      0.12000      0.00000      0.00000      0.00000
      0.13000      0.00000      0.00000      0.00000
      0.14000      0.00000      0.00000      0.00000
      0.15000      0.00000      0.00000      0.00000
      0.16000      0.00000      0.00000      0.00000
      0.17000      0.00000      0.00000      0.00000
      0.18000      0.00000      0.00000      0.00000
      0.19000      0.00000      0.00000      0.00000
      0.20000      0.00000      0.00000      0.00000
      0.21000      0.00000      0.00000      0.00000
      0.22000      0.00000      0.00000      0.00000
      0.23000      0.00000      0.00000      0.00000
      0.24000      0.00000      0.00000      0.00000
      0.25000      0.00000      0.00000      0.00000
      0.26000      0.00000      0.00000      0.00000
      0.27000      0.00000      0.00000      0.00000
      0.28000      0.00000      0.00000      0.00000
      0.29000      0.00000      0.00000      0.00000
      0.30000      0.00000      0.00000      0.00000
      0.31000      0.00000      0.00000      0.00000
      0.32000      0.00000      0.00000      0.00000
      0.33000      0.00000      0.00000      0.00000
      0.34000      0.00000      0.00000      0.00000
      0.35000      0.00000      0.00000      0.00000
      0.36000      0.00000      0.00000      0.00000
      0.37000      0.00000      0.00000      0.00000
      0.38000      0.00000      0.00000      0.00000
      0.39000      0.00000      0.00000      0.00000
      0.40000      0.00000      0.00000      0.00000
      0.41000      0.00000      0.00000      0.00000
      0.42000      0.00000      0.00000      0.00000
      0.43000      0.00000      0.00000      0.00000
      0.44000      0.00000      0.00000      0.00000
      0.45000      0.00000      0.00000      0.00000
      0.46000      0.00000      0.00000      0.00000
      0.47000      0.00000      0.00000      0.00000
      0.48000      0.00000      0.00000      0.00000
      0.49000      0.00000      0.00000      0.00000
      0.50000      0.00000      0.00000      0.00000
      0.51000      0.00000      0.00000      0.00000
      0.52000      0.00000      0.00000      0.00000
      0.53000      0.00000      0.00000      0.00000
      0.54000      0.00000      0.00000      0.00000
      0.55000      0.00000      0.00000      0.00000
      0.56000      0.00000      0.00000      0.00000
      0.57000      0.00000      0.00000      0.00000
      0.58000      0.00000      0.00000      0.00000
      0.59000      0.00000      0.00000      0.00000
      0.60000      0.00000      0.00000      0.00000
      0.61000      0.00000      0.00000      0.00000
      0.62000      0.00000      0.00000      0.00000
      0.63000      0.00000      0.00000      0.00000
      0.64000      0.00000      0.00000      0.00000
      0.65000      0.00000      0.00000      0.00000
      0.66000      0.00000      0.00000      0.00000
      0.67000      0.00000      0.00000      0.00000
      0.68000      0.00000      0.00000      0.00000
      0.69000      0.00000      0.00000      0.00000
      0.70000      0.00000      0.00000      0.00000
      0.71000      0.00000      0.00000      0.00000
      0.72000      0.00000      0.00000      0.00000
      0.73000      0.00000      0.00000      0.00000
      0.74000      0.00000      0.00000      0.00000
      0.75000      0.00000      0.00000      0.00000
      0.76000      0.00000      0.00000      0.00000
      0.77000      0.00000      0.00000      0.00000
      0.78000      0.00000      0.00000      0.00000
      0.79000      0.00000      0.00000      0.00000
      0.80000      0.00000      0.00000      0.00000
      0.81000      0.00000      0.00000      0.00000
      0.82000      0.00000      0.00000      0.00000
      0.83000      0.00000      0.00000      0.00000
      0.84000      0.00000      0.00000      0.00000
      0.85000      0.00000      0.00000      0.00000
      0.86000      0.00000      0.00000      0.00000
      0.87000      0.00000      0.00000      0.00000
      0.88000      0.00000      0.00000      0.00000
      0.89000      0.00000      0.00000      0.00000
      0.90000      0.00000      0.00000      0.00000
      0.91000      0.00000      0.00000      0.00000
      0.92000      0.00000      0.00000      0.00000
      0.93000      0.00000      0.00000      0.00000
      0.94000      0.00000      0.00000      0.00000
      0.95000      0.00000      0.00000      0.00000
      0.96000      0.00000      0.00000      0.00000
      0.97000      0.00000      0.00000      0.00000
      0.98000      0.00000      0.00000      0.00000
      0.99000      0.00000      0.00000      0.00000
      1.00000      0.00000      0.00000      0.00000
      1.01000      0.00000      0.00000      0.00000
      1.02000      0.00000      0.00000      0.00000
      1.03000      0.00000      0.00000      0.00000
      1.04000      0.00000      0.00000      0.00000
      1.05000      0.00000      0.00000      0.00000
      1.06000      0.00000      0.00000      0.00000
      1.07000      0.00000      0.00000      0.00000
      1.08000      0.00000      0.00000      0.00000
      1.09000      0.00000      0.00000      0.00000
      1.10000      0.00000      0.00000      0.00000
      1.11000      0.00000      0.00000      0.00000
      1.12000      0.00000      0.00000      0.00000
      1.13000      0.00000      0.00000      0.00000
      1.14000      0.00000      0.00000      0.00000
      1.15000      0.00000      0.00000      0.00000
      1.16000      0.00000      0.00000      0.00000
      1.17000      0.00000      0.00000      0.00000
      1.18000      0.00000      0.00000      0.00000
      1.19000      0.00000      0.00000      0.00000
      1.20000      0.00000      0.00000      0.00000
      1.21000      0.00000      0.00000      0.00000
      1.22000      0.00000      0.00000      0.00000
      1.23000      0.00000      0.00000      0.00000
      1.24000      0.00000      0.00000      0.00000
      1.25000      0.00000      0.00000      0.00000
      1.26000      0.00000      0.00000      0.00000
      1.27000      0.00000      0.00000      0.00000
      1.28000      0.00000      0.00000      0.00000
      1.29000      0.00000      0.00000      0.00000
      1.30000      0.00000      0.00000      0.00000
      1.31000      0.00000      0.00000      0.00000
      1.32000      0.00000      0.00000      0.00000
